"filename", "language", "JavaScript", "HTML", "CSS", "Python", "pip requirements", "YAML", "comment", "blank", "total"
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/account/index.html", "HTML", 0, 129, 0, 0, 0, 0, 0, 25, 154
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/account/index.js", "JavaScript", 62, 0, 0, 0, 0, 0, 17, 17, 96
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/account/styles.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 8, 38
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/dashboard/index.html", "HTML", 0, 263, 0, 0, 0, 0, 1, 34, 298
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/dashboard/index.js", "JavaScript", 405, 0, 0, 0, 0, 0, 150, 127, 682
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/dashboard/styles.css", "CSS", 0, 0, 54, 0, 0, 0, 1, 13, 68
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/globalstyles.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 16, 72
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/login/index.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 3, 46
"/Users/kyler/Documents/SD/School Assignments/applyapp/client/pages/signup/index.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 0, 50
"/Users/kyler/Documents/SD/School Assignments/applyapp/requirements.txt", "pip requirements", 0, 0, 0, 0, 14, 0, 0, 1, 15
"/Users/kyler/Documents/SD/School Assignments/applyapp/server/app.py", "Python", 0, 0, 0, 372, 0, 0, 95, 125, 592
"/Users/kyler/Documents/SD/School Assignments/applyapp/server/environment.yml", "YAML", 0, 0, 0, 0, 0, 21, 0, 1, 22
"/Users/kyler/Documents/SD/School Assignments/applyapp/server/helpers.py", "Python", 0, 0, 0, 44, 0, 0, 0, 14, 58
"Total", "-", 467, 485, 140, 416, 14, 21, 264, 384, 2191